id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
2188,negative,critical,no,"appeal to authority, hyperbole","bandwagon, fearmongering",faulty generalization
2189,negative,alarming,no,"hyperbole, appeal to fear","demonization, selective quotation",['slippery slope']
2190,negative,critical,no,"hyperbole, contrast","appeal to emotion, fearmongering",hasty generalization
2191,neutral,informative,yes,"hyperbole, historical reference","card stacking, appeal to authority",none identified
2192,negative,critical,no,"contrast, hyperbole, appeal to emotion","card stacking, emotional appeal, red herring","['false dilemma', 'hasty generalization']"
2193,positive,optimistic,no,"comparison, temporal contrast, implied critique","cherry-picking, appeal to authority, emotional manipulation",hasty generalization
2194,positive,optimistic,yes,"anecdote, temporal contrast","bandwagon, selective omission",hasty generalization
2195,negative,accusatory,yes,"anaphora, hyperbole, loaded language","fear mongering, cherry picking, ad hominem",false dilemma
2196,positive,assertive,yes,"statistics/quantification, appeal to authority, exemplification","bandwagon, card stacking",straw man
2197,negative,defiant,no,"allusion, appeal to authority, anaphora","bandwagon, emotional appeal",straw man
2198,negative,critical,yes,"loaded language, comparative analysis, appeal to authority","card stacking, doubt creation, name-calling","['strawman argument', 'false dilemma']"
2199,negative,alarmist,no,"ad hominem, appeal to fear, slippery slope","name-calling, scare tactics, misleading statistics",post hoc ergo propter hoc
2200,negative,critical,no,"repetition, appeal to authority, dramatic pause","fearmongering, cherry picking",slippery slope
2201,neutral,objective,yes,"anecdote, appeal to authority, statistics","selectivity, fear-mongering, glittering generalities",hasty generalization
2202,negative,alarmist,yes,"hyperbole, anecdotal evidence, contrast","fear-mongering, selective omission, card stacking",hasty generalization
2203,negative,critical,yes,"hyperbole, comparative statement, inclusive language","appeal to fear, selective statistics, contradictory evidence",hasty generalization
2204,negative,skeptical,yes,"quoting, contrast","cherry picking, ad hominem",['straw man']
2205,positive,optimistic,no,"anecdote, appeal to authority, imagery","simplification, emotional appeal, bandwagon",hasty generalization
2206,negative,critical,yes,"metaphor, comparison, anecdote","selective omission, appeal to emotion, fear tactics","['hasty generalization', 'faulty causality']"
2207,positive,optimistic,no,"anecdote, appeal to authority, contrast","testimonials, cherry-picking, appeal to emotion",non sequitur
2208,positive,assertive,no,"record number, inclusive language, contrast","ad hominem, fear appeal, repetition",straw man
2209,neutral,informative,no,"appeal to authority, statistics, emotional appeal","bandwagon, fearmongering, testimonial",no logical fallacy
2210,neutral,informative,no,"appeal to authority, hypophora","bandwagon, fear-mongering",false dilemma
2211,positive,prideful,yes,"anecdote, exaggeration, contrast","appeal to emotion, demonization",hasty generalization
2212,neutral,skeptical,no,"comparison, exaggeration","appeal to fear, demonization",false equivalence
2213,negative,critical,yes,"hyperbole, anaphora, anecdote","demonization, loaded language, false dilemma","['straw man', 'begging the question']"
2214,neutral,informative,no,"appeal to authority, established fact","bandwagon, scare tactics",no logical fallacies identified
2215,negative,critical,yes,"metaphor, hyperbole, contrast","fearmongering, appeal to authority, cherry-picking",straw man
2216,negative,critical,no,"enumeration, contrast, anecdotal evidence","appeal to fear, bandwagon, emotional appeal","['hasty generalization', 'false cause']"
2217,negative,cautionary,yes,"overgeneralization, appeal to authority, false dichotomy","cherry-picking data, fearmongering, bandwagon",hasty generalization
2218,negative,critical,no,"irony, anecdote, contrast","ad hominem, fearmongering, loaded language",hasty generalization
2219,positive,informative,no,"statistical evidence, appeal to authority","card stacking, quoting authorities",hasty generalization
2220,negative,critical,no,"rhetorical question, hyperbole, anaphora","appeal to authority, bandwagon, fear-mongering",hasty generalization
2221,negative,critical,yes,"anaphora, emphatic phrasing","loaded language, card stacking",hasty generalization
2222,neutral,concerned,no,"analogy, anecdote","fearmongering, bandwagon",none
2223,neutral,defensive,yes,"assertion, appeal to history, inclusive language","emotional appeal, selective quotation, fear of loss",hasty generalization
2224,negative,critical,yes,"contrast, appeal to experience","ad hominem, slippery slope",straw man
2225,negative,critical,no,"juxtaposition, analogy","ad hominem, dichotomy","['false comparison', 'hasty generalization']"
2226,neutral,assertive,no,"comparative rhetoric, anecdotal evidence","misleading information, appeal to emotion",fallacy of composition
2227,negative,critical,yes,"rhetorical question, contrast","appeal to authority, fear appeal","['hasty generalization', 'false dichotomy']"
2228,negative,alarmist,yes,"quantification, contrast","appeal to fear, oversimplification",hasty generalization
2229,negative,serious,yes,"appeal to authority, elipsis, inclusive language","fear appeal, scare tactics",hasty generalization
2230,negative,critical,no,"metaphor, statistics, pathos","bandwagon, anecdotal evidence, appeal to authority",hasty generalization
2231,negative,negative and accusatory,no,"hyperbole, anaphora","name-calling, fearmongering",hasty generalization
2232,negative,concerned,no,"hyperbole, emphasis, temporal framing","fear appeal, bandwagon, selective evidence",hasty generalization
2233,negative,skeptical,no,"implicit argumentation, repetition, emotive language","fearmongering, ad hominem, anecdotal evidence",hasty generalization
2234,negative,critical,yes,"euphemism, appeal to emotion, contrast","card stacking, name-calling",hasty generalization
2235,neutral,formal,yes,"analogies, contrast, appeal to reason","card stacking, fear-mongering, appeal to authority",straw man
2236,negative,critical,no,"anecdote, statistical evidence","scare tactics, bandwagon",hasty generalization
2237,neutral,informative,no,"historical reference, predictive statement","appeal to authority, fear appeal",no true scotsman
2238,negative,accusatory,no,"ad hominem, hyperbole, loaded language","fear mongering, demonization, selective reporting",fallacy of composition
2239,negative,cynical,no,"allusion, hyperbole","fearmongering, plain folks",false equivalence
2240,negative,critical,yes,"appeal to authority, specificity","fear-mongering, misleading statistics",sunk cost fallacy
2241,negative,accusatory,no,"appeal to fear, oversimplification","ad hominem, cherry picking",hasty generalization
2242,negative,critical,yes,"contrast, quantitative evidence, anecdotal evidence","card stacking, misleading implication","['hasty generalization', 'false dilemma']"
2243,neutral,assertive,no,"claim of exclusivity, use of quotation, appeal to authority","bandwagon, fear-mongering, distraction",hasty generalization
2244,neutral,predictive and informative,no,"forewarning, hyperbole, inclusivity","appeal to fear, bandwagon, testimonial",none identified
2245,negative,pessimistic,no,"anecdote, contrast","appeal to emotion, cherry-picking",hasty generalization
2246,neutral,reflective,yes,"use of personal testimony, appeal to emotion, antithesis","bandwagon, appeal to authority, doubt and confusion","['hasty generalization', 'begging the question']"
2247,negative,critical,yes,"dichotomy, invective","ad hominem, strawman argument",false dilemma
2248,negative,critical,yes,"appeal to ethos, non sequitur","ad hominem, false dilemma",red herring
2249,negative,alarmist,no,"pathos, allusion, dichotomy","scapegoating, fear-mongering, cherry-picking",post hoc fallacy
2250,negative,cynical,yes,"hyperbole, irony","fearmongering, appeal to emotion",post hoc ergo propter hoc
2251,neutral,informative,no,"appeal to authority, loaded language, anecdotal evidence","fearmongering, false dilemma, appeal to popularity","['straw man', 'post hoc']"
2252,neutral,critical/analytical,yes,"appeal to authority, contrast, quoting","bandwagon, demonization, fear-mongering","['hasty generalization', 'false dichotomy']"
2253,negative,critical,no,"appeal to emotion, hyperbole, loaded language","fear-mongering, scare tactics, bandwagon effect",hasty generalization
2254,negative,serious,no,"hyperbole, anecdote, appeal to fear","scare tactics, cherry-picking, demonization",straw man
2255,negative,accusatory,no,"appeal to credibility, causal link","demonization, selective omission",post hoc ergo propter hoc
2256,negative,serious,yes,"appeal to authority, hyperbole","fear-mongering, bandwagon",strawman fallacy
2257,negative,critical,no,"comparative argument, quantification","fear appeal, cherry-picking",hasty generalization
2258,negative,alarmist,yes,"hyperbole, causal claims, emotive language","scapegoating, fearmongering, demonization",hasty generalization
2259,negative,alarmist,yes,"anecdotal evidence, hyperbole, appeal to fear","cherry-picking, disinformation, scare tactics",sweeping generalization
2260,positive,optimistic,no,"juxtaposition, imagery","appeal to emotion, reductio ad absurdum",hasty generalization
2261,negative,alarmist,yes,"appeal to authority, hyperbole","fearmongering, cherry-picking",hasty generalization
2262,negative,concerned,yes,"anaphora, contrast, pathos","fearmongering, scapegoating, dichotomy",hasty generalization
2263,neutral,inquisitive,no,"anecdote, appeal to emotion, counterargument","card-stacking, fear appeal, guilt appeal","['false dilemma', 'hasty generalization']"
2264,negative,critical,yes,"comparison, hyperbole, rhetorical question","appeal to emotion, cherry-picking, fear-mongering",false dichotomy
